Action,Actions
Add Category,Ajouter une catégorie
Add Comment,Ajouter un commentaire
Add Post,Ajouter un article
Advanced Options,Options avancées
Advanced Post Options,"Options avancées pour l'article"
Approve,Approuver
Are you sure?,Voulez-vous vraiment effectuer cette action ?
Auto Approve Comments,Approuver automatiquement les commentaires
Blog,Blog
Blog Comment Manager,Gestion des commentaires du blog
Blog Manager,Gestion du blog
Blog Post Manager,Gestion des articles du blog
Blog Post Options,Options des articles
Blog Settings,Options du blog
Blog Title,Titre du blog
Categories,Catégories
Category,Catégorie
Category does not exist,La catégorie n'existe pas
Category Information,Informations sur la catégorie
Category Manager,Gestionnaire des catégories
Change status,Changer le statut
click here,cliquez ici
Comment,Commentaire
Comment Information,Informations sur le commentaire
Comment was approved,Le commentaire a bien été approuvé
Comment was successfully deleted,Le commentaire a bien été supprimé
Comment was successfully saved,Le commentaire a bien été sauvegardé
Comment was unapproved,Le commentaire a bien été désapprouvé
Comments,Commentaires
Comments are not enabled.,Les commentaires sont désactivés
Content,Contenu
Created,Créé
Delete,Supprimer
Delete Category,Supprimer la catégorie
Delete Comment,Supprimer le commentaire
Delete Post,Supprimer l'article
Description,Description
Disabled,Désactivé
Email Address,Adresse e-mail
Edit,Editer
Edit Category '%s',Modifier la catégorie '%s'
Edit Comment By '%s',Modifier le commentaire publié par '%s'
Edit Post '%s',Modifier l'article '%s'
eg: YYYY-MM-DD HH:MM:SS Leave blank to use current date,exemple: AAAA-MM-DD HH:MM:SS - Laissez vide pour utiliser la date actuelle
Email,Adresse e-mail
Enable Blog RSS Feed,Activer le flux RSS pour le blog
Enable Comments,Activer les commentaires
Enable Footer Link,Activer l'apparition d'un lien « Blog » au bas de la page
Enable Left Menu,Activer le menu gauche
Enable Right Menu,Activer le menu droit
Enable Top Link,Activer l'apparition d'un lien « Blog » au haut de la page
Enabled,Activé
Frequency,Fréquence
Go to Home Page,Aller à la page d'accueil
Google Sitemap,Sitemap Google
Hidden,Caché
Home,Accueil
ID,ID
Identifier,Identifiant
Keywords,Mots-clés
Leave blank to use current user name,Laissez vide pour utiliser le nom actuel du posteur
Login Required to Comment,Restreindre la possibilité de commenter aux utilisateurs identifiés
Manage Categories,Gérer les catégories
Manage Comments,Gérer les commentaires
Manage Posts,Gérer les articles
Manage Products,Gérer les produits
Meta Data,Méta données
Meta Description,Méta description
Meta Keywords,Méta mots-clés;
Name,Nom
No Posts in this Category.,Il n'y a aucun article dans la catégorie sélectionnée.
Page Layout,Layout (Gabarit) de la page
Please select categories,Veuillez sélectionner une ou plusieurs catégories
Please select comment(s),Veuillez sélectionner un ou plusieurs commentaires
Please select post(s),Veuillez sélectionner un ou plusieurs articles
Post was successfully deleted,L'article a bien été supprimé
Post does not exist,L'article n'existe pas
Post Identifier already exist.,L'identifiant choisi existe déjà pour un autre article
Post Identifier cannot consist only of numbers.,L'identifiant de l'article ne peut pas contenir que des chiffres.
Post information,Informations de l'article
Post was successfully deleted,L'article a bien été supprimé
Post was successfully saved,L'article a bien été sauvegardé
Posted By,Publié par
Poster,Publicateur
Posts per Page,Nombre d'articles par page
Priority,Priorité
Recent Posts,Derniers articles
Return to,Envoyer vers
Route to Blog,Chemin d'accès au blog
RSS Feed Image,Image du flux RSS
RSS Posts to Show,Nombre d'articles à afficher dans le flux RSS
Save Category,Sauvegarder la catégorie
Save Comment,Sauvegarder le commentaire
Save Post,Sauvegarder l'article
Show Breadcrumbs,Afficher le fil d'Ariane
Sort Order,Ordre de tri
Status,Statut
Store View,Vue « Magasin »
Submit Comment,Envoyer le commentaire
Summary Character Count,Nombre de caractères du résumé
Title,Titre
to log in,pour vous identifier
Total of %d comment(s) were successfully approved,Un total de %d commentaire(s) a/ont été approuvé(s)
Total of %d comment(s) were successfully unapproved,Un total de %d commentaire(s) a/ont été désapprouvé(s)
Total of %d comments(s) were successfully deleted,Un total de %d commentaire(s) a/ont été supprimé(s)
Total of %d record(s) were successfully deleted,Un total de %d enregistrement(s) a/ont été supprimé(s)
Total of %d record(s) were successfully updated,Un total de %d enregistrement(s) a/ont été(s) mis à jour
Unable to find category to save,Impossible de trouver la catégorie à sauvegarder
Unable to find comment to save,Impossible de trouver le commentaire à sauvegarder
Unable to find post to save,Impossible de trouver l'article à sauvegarder
Unable to submit your comment. Please&#8218; try again later,&quot;Impossible d'envoyer votre commentaire. Veuillez réessayer ultérieurement.
Unapprove,Désapprouver
Updated,Mis à jour
User,Utilisateur
You must be logged in to comment.,Vous devez être identifié pour pouvoir écrire un commentaire.
You must be logged in to post a comment.,Vous devez être identifié pour envoyer un commentaire.
Your comment has been submitted and is awaiting approval.,Votre commentaire a bien été envoyé et sera publié après sa validation.
Your comment has been submitted.,Votre commentaire a bien été envoyé.
